County,Centroid_Coordinates
Alameda,"(-121.88540281120429, 37.646445788501985)"
Alpine,"(-119.82062225467072, 38.59712363022792)"
Amador,"(-120.65088068200266, 38.446468273913304)"
Butte,"(-121.60082629859474, 39.66708011754661)"
Calaveras,"(-120.55424658629616, 38.20451760470636)"
Colusa,"(-122.23684305976545, 39.177525739739565)"
Contra Costa,"(-121.93153686068518, 37.91405956144038)"
Del Norte,"(-123.89672300193008, 41.74302459980449)"
Tuolumne,"(-119.95486276028194, 38.027606092762554)"
El Dorado,"(-120.5245706879799, 38.77881183545268)"
Fresno,"(-119.64940724696002, 36.75818258469853)"
Glenn,"(-122.39239334069815, 39.598334754234365)"
Humboldt,"(-123.87360084166782, 40.69871228330935)"
Inyo,"(-117.4107637453296, 36.511084753486166)"
Lake,"(-122.75315543324952, 39.09958398388938)"
San Diego,"(-116.73302992104014, 33.0358316443703)"
San Francisco,"(-122.44139601142281, 37.754959334056345)"
Sierra,"(-120.51593793961477, 39.58031497298322)"
Siskiyou,"(-122.5402639453268, 41.592719306313235)"
Solano,"(-121.92832384446154, 38.27948523467577)"
Sonoma,"(-122.88723394410232, 38.52854900867659)"
Los Angeles,"(-118.22439571094988, 34.32316666268175)"
Madera,"(-119.76250637300735, 37.21817041593574)"
Marin,"(-122.7198774186225, 38.07266718360518)"
Mariposa,"(-119.9055184400526, 37.58149635417182)"
Mendocino,"(-123.39130950599854, 39.44020149551293)"
Merced,"(-120.71747994257157, 37.19194119936419)"
Modoc,"(-120.72495987805, 41.58984160137587)"
Tulare,"(-118.80053111302723, 36.2201739033523)"
Imperial,"(-115.36538190993197, 33.03949750842296)"
Santa Cruz,"(-122.00154277163625, 37.05626704211926)"
Shasta,"(-122.04045803324979, 40.763818883782385)"
Stanislaus,"(-120.99759363633524, 37.559140766531016)"
Sutter,"(-121.69475279534717, 39.03423909814196)"
Tehama,"(-122.23389960130235, 40.12580293122711)"
Trinity,"(-123.11254020865577, 40.650852404958364)"
Kern,"(-118.72985148260057, 35.342778174230844)"
San Mateo,"(-122.3289357720441, 37.42216319997702)"
Santa Barbara,"(-120.01654209317402, 34.67341671564525)"
Santa Clara,"(-121.69449780917058, 37.23150951325772)"
Ventura,"(-119.08329373927067, 34.45702930278557)"
Yolo,"(-121.90164512739479, 38.68655409612024)"
Yuba,"(-121.35145871327653, 39.268960587896785)"
Lassen,"(-120.59439821720208, 40.67360540239723)"
Kings,"(-119.81552255728482, 36.07532489409383)"
Mono,"(-118.8867230744428, 37.938936371727024)"
Monterey,"(-121.23873379039394, 36.21679989973648)"
Napa,"(-122.33045469614143, 38.506335771548855)"
Nevada,"(-120.76889223547575, 39.30134561669799)"
Orange,"(-117.76078177393799, 33.70326716529043)"
Placer,"(-120.71771061300772, 39.063468235022356)"
Plumas,"(-120.83850449425606, 40.004570211277965)"
Riverside,"(-115.99386693278063, 33.74367795938469)"
Sacramento,"(-121.33845670326669, 38.454982841907444)"
San Benito,"(-121.07505054031712, 36.60574159107949)"
San Bernardino,"(-116.17842490504144, 34.84144314791096)"
San Joaquin,"(-121.26987040456058, 37.934221968005566)"
San Luis Obispo,"(-120.40399946479585, 35.387163002902945)"
