County,First_Point_Coordinates
Alameda,"(-122.312934, 37.897333)"
Alpine,"(-120.072392, 38.702767)"
Amador,"(-121.027262, 38.489252)"
Butte,"(-121.879249, 39.303608)"
Calaveras,"(-120.876047, 38.028894)"
Colusa,"(-122.248517, 39.384961)"
Contra Costa,"(-121.615148, 38.0996)"
Del Norte,"(-123.517907, 42.000854)"
Tuolumne,"(-120.500441, 38.00663)"
El Dorado,"(-120.184098, 39.031014)"
Fresno,"(-119.845538, 36.860502)"
Glenn,"(-122.892676, 39.708898)"
Humboldt,"(-123.544453, 40.661175)"
Inyo,"(-118.337927, 36.654834)"
Lake,"(-122.410887, 39.010295)"
San Diego,"(-117.595944, 33.386416)"
San Francisco,"(-122.393249, 37.70828)"
Sierra,"(-120.655409, 39.693842)"
Siskiyou,"(-121.447538, 41.997507)"
Solano,"(-121.885882, 38.53876)"
Sonoma,"(-123.251118, 38.808402)"
Los Angeles,"(-118.94485, 34.045657)"
Madera,"(-120.399944, 37.118059)"
Marin,"(-122.42034, 37.863192)"
Mariposa,"(-120.322514, 37.52669)"
Mendocino,"(-123.063181, 39.503539)"
Merced,"(-121.106162, 37.231835)"
Modoc,"(-119.999866, 41.183974)"
Tulare,"(-119.474892, 36.400953)"
Imperial,"(-115.87583, 33.426463)"
Santa Cruz,"(-121.984786, 37.141921)"
Shasta,"(-122.001111, 41.18333)"
Stanislaus,"(-120.400166, 37.643351)"
Sutter,"(-121.908048, 39.30377)"
Tehama,"(-122.199173, 40.377943)"
Trinity,"(-123.623891, 40.928674)"
Kern,"(-119.997392, 35.439495)"
San Mateo,"(-122.502827, 37.708133)"
Santa Barbara,"(-120.496222, 34.993155)"
Santa Clara,"(-121.849086, 37.098997)"
Ventura,"(-119.47667, 34.373283)"
Yolo,"(-121.693733, 38.450503)"
Yuba,"(-121.205707, 39.30967)"
Lassen,"(-120.750519, 41.184042)"
Kings,"(-119.475234, 36.313373)"
Mono,"(-119.308362, 38.009191)"
Monterey,"(-121.809418, 36.851426)"
Napa,"(-122.569849, 38.529991)"
Nevada,"(-120.714514, 39.483744)"
Orange,"(-118.099107, 33.776518)"
Placer,"(-121.064599, 39.007577)"
Plumas,"(-121.350821, 39.825704)"
Riverside,"(-117.673749, 33.870831)"
Sacramento,"(-121.027084, 38.300252)"
San Benito,"(-121.484726, 36.764142)"
San Bernardino,"(-117.659757, 34.452769)"
San Joaquin,"(-121.557038, 37.815988)"
San Luis Obispo,"(-121.347884, 35.79519)"
